2026-03-01 22:09:02,044 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:10:02,647 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:10:02,647 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:10:29,006 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:10:29,007 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:17:17,350 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:17:17,350 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:17:34,127 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:17:34,127 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:17:37,666 | INFO | phase2.pipeline | RQ3 evaluation completed: {'status': 'ok', 'output_csv': 'C:\\Users\\garre\\Desktop\\P2\\New folder\\artifacts\\rq3_quality.csv', 'per_case_dir': 'C:\\Users\\garre\\Desktop\\P2\\New folder\\artifacts\\rq3_cases', 'rows_written': 3, 'approach_counts': {'human': {'evaluated': 1}, 'healing': {'evaluated': 1}, 'regen': {'evaluated': 0}}, 'timeout_seconds': 3600}
2026-03-01 22:23:11,455 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:23:11,455 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:33:52,677 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:33:52,677 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:34:46,600 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:34:46,600 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
